layer,accuracy,phon_lang,model_lang,model_seed
11,0.6565,fr,de2en,1
12,0.6218,fr,de2en,1
0,0.374,fr,de2en,2
1,0.4999,fr,de2en,2
2,0.5965,fr,de2en,2
3,0.6468,fr,de2en,2
4,0.6837,fr,de2en,2
5,0.6912,fr,de2en,2
6,0.6864,fr,de2en,2
7,0.6901,fr,de2en,2
8,0.6871,fr,de2en,2
9,0.6755,fr,de2en,2
10,0.664,fr,de2en,2
11,0.6549,fr,de2en,2
12,0.6166,fr,de2en,2
0,0.3726,fr,de2en,3
1,0.4986,fr,de2en,3
2,0.5927,fr,de2en,3
3,0.6556,fr,de2en,3
4,0.6792,fr,de2en,3
5,0.6965,fr,de2en,3
6,0.6902,fr,de2en,3
7,0.6884,fr,de2en,3
8,0.6891,fr,de2en,3
9,0.6871,fr,de2en,3
10,0.6729,fr,de2en,3
11,0.6577,fr,de2en,3
12,0.6231,fr,de2en,3
0,0.3765,fr,en,1
1,0.5005,fr,en,1
2,0.6027,fr,en,1
3,0.6463,fr,en,1
4,0.6756,fr,en,1
5,0.695,fr,en,1
6,0.6946,fr,en,1
7,0.6931,fr,en,1
8,0.692,fr,en,1
9,0.687,fr,en,1
10,0.6755,fr,en,1
11,0.6631,fr,en,1
12,0.6304,fr,en,1
0,0.3721,fr,en,2
1,0.499,fr,en,2
2,0.6116,fr,en,2
3,0.6525,fr,en,2
4,0.6718,fr,en,2
5,0.6872,fr,en,2
6,0.6932,fr,en,2
7,0.6925,fr,en,2
8,0.6884,fr,en,2
9,0.6864,fr,en,2
10,0.6671,fr,en,2
11,0.6506,fr,en,2
12,0.6124,fr,en,2
0,0.372,fr,en,3
1,0.5042,fr,en,3
2,0.6,fr,en,3
3,0.65,fr,en,3
4,0.6845,fr,en,3
5,0.6866,fr,en,3
6,0.6933,fr,en,3
7,0.6901,fr,en,3
8,0.6877,fr,en,3
9,0.6829,fr,en,3
10,0.6718,fr,en,3
11,0.6594,fr,en,3
12,0.6259,fr,en,3
0,0.3747,fr,en,4
1,0.5019,fr,en,4
2,0.6084,fr,en,4
3,0.6502,fr,en,4
4,0.6788,fr,en,4
5,0.6925,fr,en,4
6,0.6936,fr,en,4
7,0.6928,fr,en,4
8,0.692,fr,en,4
9,0.6838,fr,en,4
10,0.6713,fr,en,4
11,0.6603,fr,en,4
12,0.6263,fr,en,4
0,0.3763,fr,en2de,2
1,0.4991,fr,en2de,2
2,0.595,fr,en2de,2
