epoch,layer,model_a,seed_a,model_b,seed_b,score
4,1,de,6,fr,4,0.8005
5,1,de,6,fr,4,0.7762
6,1,de,6,fr,4,0.8224
7,1,de,6,fr,4,0.8127
8,1,de,6,fr,4,0.7953
9,1,de,6,fr,4,0.7577
10,1,de,6,fr,4,0.7893
11,1,de,6,fr,4,0.7535
12,1,de,6,fr,4,0.7619
13,1,de,6,fr,4,0.7602
14,1,de,6,fr,4,0.806
15,1,de,6,fr,4,0.7606
16,1,de,6,fr,4,0.7981
17,1,de,6,fr,4,0.8021
18,1,de,6,fr,4,0.8164
19,1,de,6,fr,4,0.8181
20,1,de,6,fr,4,0.7888
21,1,de,6,fr,4,0.8336
22,1,de,6,fr,4,0.8165
23,1,de,6,fr,4,0.7973
24,1,de,6,fr,4,0.8142
4,2,de,6,fr,4,0.6231
5,2,de,6,fr,4,0.6347
6,2,de,6,fr,4,0.6252
7,2,de,6,fr,4,0.6429
8,2,de,6,fr,4,0.6625
9,2,de,6,fr,4,0.6141
10,2,de,6,fr,4,0.6619
11,2,de,6,fr,4,0.5849
12,2,de,6,fr,4,0.6518
13,2,de,6,fr,4,0.6759
14,2,de,6,fr,4,0.6837
15,2,de,6,fr,4,0.6737
16,2,de,6,fr,4,0.6904
17,2,de,6,fr,4,0.6778
18,2,de,6,fr,4,0.7071
19,2,de,6,fr,4,0.7156
20,2,de,6,fr,4,0.6698
21,2,de,6,fr,4,0.7329
22,2,de,6,fr,4,0.742
23,2,de,6,fr,4,0.7009
24,2,de,6,fr,4,0.7072
4,3,de,6,fr,4,0.5655
5,3,de,6,fr,4,0.6148
6,3,de,6,fr,4,0.6118
7,3,de,6,fr,4,0.5977
8,3,de,6,fr,4,0.6198
9,3,de,6,fr,4,0.5566
10,3,de,6,fr,4,0.5985
11,3,de,6,fr,4,0.5767
12,3,de,6,fr,4,0.6175
13,3,de,6,fr,4,0.6346
14,3,de,6,fr,4,0.5894
15,3,de,6,fr,4,0.5913
16,3,de,6,fr,4,0.6397
17,3,de,6,fr,4,0.5811
18,3,de,6,fr,4,0.6194
19,3,de,6,fr,4,0.6714
20,3,de,6,fr,4,0.6231
21,3,de,6,fr,4,0.6519
22,3,de,6,fr,4,0.6136
23,3,de,6,fr,4,0.6292
24,3,de,6,fr,4,0.6666
